streetID,street_name,townID
64256,ANG MO KIO AVE 1,64256
64260,ANG MO KIO AVE 10,64256
64272,ANG MO KIO AVE 3,64256
64284,ANG MO KIO AVE 4,64256
64289,ANG MO KIO AVE 5,64256
64296,ANG MO KIO AVE 6,64256
64298,ANG MO KIO ST 61,64256
64322,ANG MO KIO AVE 8,64256
64323,ANG MO KIO AVE 9,64256
64325,ANG MO KIO ST 32,64256
64327,ANG MO KIO ST 52,64256
64343,BEDOK NTH AVE 1,64343
64346,BEDOK NTH AVE 2,64343
64348,BEDOK NTH AVE 4,64343
64350,BEDOK NTH RD,64343
64356,BEDOK NTH ST 1,64343
64357,BEDOK NTH ST 3,64343
64367,BEDOK RESERVOIR RD,64343
64375,BEDOK STH AVE 1,64343
64377,CHAI CHEE AVE,64343
64380,CHAI CHEE ST,64343
64383,NEW UPP CHANGI RD,64343
64385,BEDOK NTH AVE 3,64343
64397,BEDOK RESERVOIR CRES,64343
64411,BEDOK RESERVOIR VIEW,64343
64414,BEDOK STH AVE 2,64343
64417,BEDOK STH AVE 3,64343
64418,BEDOK STH RD,64343
64419,CHAI CHEE RD,64343
64421,JLN TENAGA,64343
64442,JLN DAMAI,64343
64450,BISHAN ST 12,64450
64451,BISHAN ST 13,64450
64452,SHUNFU RD,64450
64453,BISHAN ST 11,64450
64463,BISHAN ST 22,64450
64467,BISHAN ST 23,64450
64469,BISHAN ST 24,64450
64481,SIN MING AVE,64450
64490,BT BATOK EAST AVE 4,64490
64492,BT BATOK EAST AVE 5,64490
64494,BT BATOK ST 11,64490
64495,BT BATOK ST 21,64490
64496,BT BATOK ST 32,64490
64498,BT BATOK ST 33,64490
64499,BT BATOK ST 51,64490
64501,BT BATOK ST 52,64490
64505,BT BATOK WEST AVE 6,64490
64507,BT BATOK WEST AVE 8,64490
64515,BT BATOK ST 25,64490
64517,BT BATOK ST 31,64490
64523,BT BATOK ST 34,64490
64524,BT BATOK WEST AVE 2,64490
64526,BT BATOK WEST AVE 5,64490
64535,BT BATOK CTRL,64490
64547,BT BATOK EAST AVE 3,64490
64553,JLN BT HO SWEE,64553
64554,JLN BT MERAH,64553
64555,KIM TIAN RD,64553
64556,BOON TIONG RD,64553
64558,HAVELOCK RD,64553
64560,HENDERSON CRES,64553
64562,JLN KLINIK,64553
64565,JLN MEMBINA,64553
64570,SILAT AVE,64553
64571,TELOK BLANGAH DR,64553
64572,TELOK BLANGAH HTS,64553
64573,TELOK BLANGAH RISE,64553
64575,TELOK BLANGAH ST 31,64553
64577,TELOK BLANGAH WAY,64553
64578,TIONG BAHRU RD,64553
64584,CANTONMENT CL,64553
64585,DELTA AVE,64553
64593,LENGKOK BAHRU,64553
64594,REDHILL CL,64553
64595,REDHILL RD,64553
64600,BT PURMEI RD,64553
64602,DEPOT RD,64553
64604,KIM TIAN PL,64553
64614,SEGAR RD,64614
64616,BANGKIT RD,64614
64617,FAJAR RD,64614
64619,PENDING RD,64614
64622,PETIR RD,64614
64633,BT PANJANG RING RD,64614
64640,GANGSA RD,64614
64641,JELAPANG RD,64614
64647,LOMPANG RD,64614
64657,SAUJANA RD,64614
64677,SENJA RD,64614
64694,JELEBU RD,64614
64716,SENJA LINK,64614
64717,QUEEN'S RD,64717
64719,TOH YI DR,64717
64720,FARRER RD,64717
64721,CHANDER RD,64721
64722,QUEEN ST,64721
64723,SAGO LANE,64721
64724,UPP CROSS ST,64721
64725,VEERASAMY RD,64721
64726,CANTONMENT RD,64721
64727,ROWELL RD,64721
64728,CHOA CHU KANG ST 51,64728
64729,TECK WHYE CRES,64728
64731,CHOA CHU KANG AVE 5,64728
64732,TECK WHYE LANE,64728
64734,CHOA CHU KANG AVE 2,64728
64737,CHOA CHU KANG AVE 3,64728
64740,CHOA CHU KANG AVE 4,64728
64750,CHOA CHU KANG CRES,64728
64756,CHOA CHU KANG CTRL,64728
64759,CHOA CHU KANG DR,64728
64761,CHOA CHU KANG ST 52,64728
64762,CHOA CHU KANG ST 53,64728
64763,TECK WHYE AVE,64728
64783,CHOA CHU KANG LOOP,64728
64784,CHOA CHU KANG NTH 5,64728
64785,CHOA CHU KANG NTH 7,64728
64790,CHOA CHU KANG ST 62,64728
64794,JLN TECK WHYE,64728
64798,CHOA CHU KANG AVE 1,64728
64807,CLEMENTI AVE 1,64807
64808,CLEMENTI AVE 2,64807
64810,CLEMENTI AVE 3,64807
64811,CLEMENTI AVE 4,64807
64812,CLEMENTI AVE 5,64807
64813,CLEMENTI WEST ST 2,64807
64815,WEST COAST DR,64807
64828,CLEMENTI ST 13,64807
64830,CLEMENTI WEST ST 1,64807
64834,C'WEALTH AVE WEST,64807
64840,CLEMENTI AVE 6,64807
64841,ALJUNIED CRES,64841
64842,BALAM RD,64841
64847,CIRCUIT RD,64841
64856,EUNOS CRES,64841
64859,GEYLANG EAST AVE 1,64841
64860,HAIG RD,64841
64862,JLN DUA,64841
64863,SIMS PL,64841
64864,UBI AVE 1,64841
64867,CASSIA CRES,64841
64868,DAKOTA CRES,64841
64873,JLN TIGA,64841
64874,SIMS DR,64841
64879,ALJUNIED RD,64841
64881,GEYLANG EAST CTRL,64841
64885,SIMS AVE,64841
64886,BUANGKOK GREEN,64886
64887,HOUGANG AVE 1,64886
64888,HOUGANG AVE 3,64886
64893,HOUGANG AVE 5,64886
64894,HOUGANG AVE 6,64886
64895,HOUGANG AVE 7,64886
64897,HOUGANG AVE 8,64886
64904,HOUGANG ST 22,64886
64905,HOUGANG ST 61,64886
64906,UPP SERANGOON CRES,64886
64907,UPP SERANGOON VIEW,64886
64911,BUANGKOK CRES,64886
64919,HOUGANG AVE 10,64886
64922,HOUGANG AVE 2,64886
64926,HOUGANG AVE 4,64886
64933,HOUGANG AVE 9,64886
64934,HOUGANG CTRL,64886
64936,HOUGANG ST 51,64886
64938,HOUGANG ST 91,64886
64941,LOR AH SOO,64886
64954,HOUGANG ST 11,64886
64963,HOUGANG ST 92,64886
64975,HOUGANG ST 21,64886
64981,JURONG EAST ST 32,64981
64982,JURONG EAST ST 24,64981
64987,TEBAN GDNS RD,64981
64989,JURONG EAST AVE 1,64981
64990,JURONG EAST ST 21,64981
65004,TOH GUAN RD,64981
65010,JURONG EAST ST 31,64981
65012,PANDAN GDNS,64981
65019,BOON LAY DR,65019
65024,BOON LAY PL,65019
65029,HO CHING RD,65019
65030,JURONG WEST AVE 1,65019
65031,JURONG WEST ST 42,65019
65032,JURONG WEST ST 52,65019
65033,JURONG WEST ST 92,65019
65035,YUAN CHING RD,65019
65036,BOON LAY AVE,65019
65043,JURONG WEST CTRL 1,65019
65046,JURONG WEST ST 24,65019
65047,JURONG WEST ST 25,65019
65049,JURONG WEST ST 41,65019
65058,JURONG WEST ST 61,65019
65061,JURONG WEST ST 62,65019
65063,JURONG WEST ST 64,65019
65065,JURONG WEST ST 65,65019
65069,JURONG WEST ST 74,65019
65070,JURONG WEST ST 81,65019
65076,JURONG WEST ST 91,65019
65081,JURONG WEST ST 93,65019
65084,KANG CHING RD,65019
65085,TAH CHING RD,65019
65090,YUNG KUANG RD,65019
65092,YUNG SHENG RD,65019
65098,CORPORATION DR,65019
65099,JURONG WEST AVE 3,65019
65100,JURONG WEST AVE 5,65019
65121,JURONG WEST ST 71,65019
65123,JURONG WEST ST 73,65019
65157,BEACH RD,65157
65158,BENDEMEER RD,65157
65163,GEYLANG BAHRU,65157
65165,GLOUCESTER RD,65157
65167,JLN BAHAGIA,65157
65170,JLN MA'MOR,65157
65171,NTH BRIDGE RD,65157
65172,RACE COURSE RD,65157
65173,WHAMPOA DR,65157
65176,BOON KENG RD,65157
65177,FARRER PK RD,65157
65180,JELLICOE RD,65157
65181,LOR 3 GEYLANG,65157
65182,MCNAIR RD,65157
65185,ST. GEORGE'S RD,65157
65186,UPP BOON KENG RD,65157
65190,WHAMPOA STH,65157
65192,CRAWFORD LANE,65157
65195,JLN BATU,65157
65196,JLN RAJAH,65157
65197,JLN TENTERAM,65157
65198,ST. GEORGE'S LANE,65157
65206,MARINE CRES,65206
65207,MARINE DR,65206
65210,MARINE TER,65206
65217,PASIR RIS ST 51,65217
65225,PASIR RIS DR 1,65217
65226,PASIR RIS DR 10,65217
65227,PASIR RIS DR 4,65217
65229,PASIR RIS DR 6,65217
65233,PASIR RIS ST 11,65217
65250,PASIR RIS ST 71,65217
65251,ELIAS RD,65217
65262,PASIR RIS ST 21,65217
65271,PASIR RIS ST 52,65217
65277,PASIR RIS ST 13,65217
65284,PASIR RIS ST 53,65217
65285,PASIR RIS ST 72,65217
65286,EDGEFIELD PLAINS,65286
65287,PUNGGOL CTRL,65286
65292,PUNGGOL DR,65286
65295,PUNGGOL FIELD,65286
65297,PUNGGOL PL,65286
65299,PUNGGOL WALK,65286
65301,PUNGGOL WAY,65286
65303,SUMANG LINK,65286
65304,EDGEDALE PLAINS,65286
65331,PUNGGOL FIELD WALK,65286
65385,C'WEALTH CRES,65385
65386,C'WEALTH CL,65385
65392,C'WEALTH DR,65385
65395,DOVER CRES,65385
65397,GHIM MOH RD,65385
65399,HOLLAND CL,65385
65401,HOLLAND DR,65385
65402,MEI LING ST,65385
65404,STIRLING RD,65385
65407,TANGLIN HALT RD,65385
65410,QUEEN'S CL,65385
65413,STRATHMORE AVE,65385
65420,CLARENCE LANE,65385
65423,HOLLAND AVE,65385
65429,MONTREAL LINK,65429
65430,SEMBAWANG DR,65429
65437,ADMIRALTY DR,65429
65438,ADMIRALTY LINK,65429
65442,CANBERRA LINK,65429
65443,CANBERRA RD,65429
65444,MONTREAL DR,65429
65445,SEMBAWANG CL,65429
65446,SEMBAWANG CRES,65429
65452,WELLINGTON CIRCLE,65429
65466,ANCHORVALE LINK,65466
65468,FERNVALE RD,65466
65469,SENGKANG WEST WAY,65466
65471,ANCHORVALE CRES,65466
65475,COMPASSVALE LANE,65466
65477,FERNVALE LINK,65466
65480,JLN KAYU,65466
65481,SENGKANG EAST AVE,65466
65482,SENGKANG WEST AVE,65466
65491,ANCHORVALE RD,65466
65498,ANCHORVALE ST,65466
65501,COMPASSVALE BOW,65466
65503,COMPASSVALE CRES,65466
65505,COMPASSVALE DR,65466
65509,COMPASSVALE LINK,65466
65512,COMPASSVALE RD,65466
65514,COMPASSVALE ST,65466
65516,COMPASSVALE WALK,65466
65517,FERNVALE LANE,65466
65549,RIVERVALE CRES,65466
65556,RIVERVALE DR,65466
65560,RIVERVALE ST,65466
65561,RIVERVALE WALK,65466
65562,SENGKANG CTRL,65466
65578,ANCHORVALE DR,65466
65629,SENGKANG EAST WAY,65466
65641,LOR LEW LIAN,65641
65643,SERANGOON AVE 2,65641
65644,SERANGOON AVE 4,65641
65645,SERANGOON CTRL,65641
65646,SERANGOON CTRL DR,65641
65647,SERANGOON NTH AVE 1,65641
65648,SERANGOON AVE 1,65641
65652,SERANGOON AVE 3,65641
65663,SERANGOON NTH AVE 2,65641
65664,SERANGOON NTH AVE 3,65641
65665,SERANGOON NTH AVE 4,65641
65674,TAMPINES CTRL 7,65674
65675,TAMPINES AVE 1,65674
65678,TAMPINES AVE 4,65674
65679,TAMPINES AVE 8,65674
65681,TAMPINES ST 11,65674
65684,TAMPINES ST 21,65674
65691,TAMPINES ST 22,65674
65696,TAMPINES ST 24,65674
65698,TAMPINES ST 41,65674
65699,TAMPINES ST 42,65674
65701,TAMPINES ST 43,65674
65702,TAMPINES ST 44,65674
65703,TAMPINES ST 82,65674
65704,TAMPINES ST 83,65674
65705,TAMPINES ST 91,65674
65706,SIMEI RD,65674
65707,SIMEI ST 1,65674
65708,SIMEI ST 4,65674
65726,TAMPINES CTRL 8,65674
65727,TAMPINES ST 12,65674
65729,TAMPINES ST 32,65674
65730,TAMPINES ST 33,65674
65735,TAMPINES ST 45,65674
65738,TAMPINES ST 71,65674
65743,TAMPINES ST 72,65674
65745,TAMPINES ST 81,65674
65754,TAMPINES ST 84,65674
65756,SIMEI LANE,65674
65763,SIMEI ST 2,65674
65766,TAMPINES AVE 5,65674
65768,TAMPINES AVE 7,65674
65769,TAMPINES AVE 9,65674
65776,TAMPINES ST 23,65674
65801,LOR 2 TOA PAYOH,65801
65803,LOR 5 TOA PAYOH,65801
65804,LOR 6 TOA PAYOH,65801
65805,KIM KEAT AVE,65801
65807,LOR 1 TOA PAYOH,65801
65814,LOR 4 TOA PAYOH,65801
65817,LOR 8 TOA PAYOH,65801
65818,POTONG PASIR AVE 1,65801
65823,POTONG PASIR AVE 3,65801
65824,TOA PAYOH EAST,65801
65827,TOA PAYOH NTH,65801
65828,KIM KEAT LINK,65801
65830,LOR 1A TOA PAYOH,65801
65835,LOR 7 TOA PAYOH,65801
65841,POTONG PASIR AVE 2,65801
65846,JOO SENG RD,65801
65856,WOODLANDS CRES,65856
65858,MARSILING CRES,65856
65859,MARSILING DR,65856
65863,MARSILING LANE,65856
65866,MARSILING RD,65856
65868,WOODLANDS AVE 1,65856
65870,WOODLANDS DR 50,65856
65873,WOODLANDS ST 13,65856
65876,WOODLANDS ST 31,65856
65883,WOODLANDS AVE 4,65856
65886,WOODLANDS AVE 6,65856
65889,WOODLANDS CIRCLE,65856
65904,WOODLANDS DR 16,65856
65905,WOODLANDS DR 40,65856
65906,WOODLANDS DR 42,65856
65912,WOODLANDS DR 52,65856
65914,WOODLANDS DR 53,65856
65915,WOODLANDS DR 60,65856
65919,WOODLANDS DR 70,65856
65921,WOODLANDS DR 75,65856
65923,WOODLANDS RING RD,65856
65933,WOODLANDS ST 32,65856
65934,WOODLANDS ST 41,65856
65937,WOODLANDS ST 82,65856
65938,WOODLANDS ST 83,65856
65941,MARSILING RISE,65856
65955,WOODLANDS DR 14,65856
65961,WOODLANDS DR 44,65856
65968,WOODLANDS DR 73,65856
65975,WOODLANDS ST 81,65856
65982,WOODLANDS DR 71,65856
65987,YISHUN AVE 11,65987
65994,YISHUN AVE 2,65987
65995,YISHUN AVE 3,65987
65996,YISHUN AVE 4,65987
65998,YISHUN AVE 5,65987
66004,YISHUN AVE 6,65987
66006,YISHUN AVE 7,65987
66007,YISHUN AVE 9,65987
66008,YISHUN RING RD,65987
66015,YISHUN ST 11,65987
66017,YISHUN ST 21,65987
66020,YISHUN ST 22,65987
66022,YISHUN ST 31,65987
66026,YISHUN ST 41,65987
66027,YISHUN ST 51,65987
66029,YISHUN ST 61,65987
66031,YISHUN ST 71,65987
66033,YISHUN ST 72,65987
66035,YISHUN AVE 1,65987
66071,YISHUN CTRL,65987
66154,YISHUN ST 81,65987
66286,BEDOK NTH ST 4,64343
66310,LENGKONG TIGA,64343
66371,BT BATOK WEST AVE 4,64490
66405,BT BATOK ST 24,64490
66417,TELOK BLANGAH CRES,64553
66420,LOWER DELTA RD,64553
66421,BEO CRES,64553
66422,BT MERAH VIEW,64553
66425,EVERTON PK,64553
66426,HOY FATT RD,64553
66427,INDUS RD,64553
66551,JLN KUKOH,64721
66553,SELEGIE RD,64721
66554,TG PAGAR PLAZA,64721
66559,JLN BERSEH,64721
66560,KLANG LANE,64721
66609,CHOA CHU KANG NTH 6,64728
66613,CHOA CHU KANG ST 64,64728
66624,CHOA CHU KANG ST 54,64728
66646,WEST COAST RD,64807
66686,PINE CL,64841
66693,GEYLANG SERAI,64841
66704,EUNOS RD 5,64841
66706,PIPIT RD,64841
66762,HOUGANG ST 31,64886
66819,JURONG EAST ST 13,64981
66895,YUNG HO RD,65019
66936,YUNG LOH RD,65019
66947,DORSET RD,65157
66948,FRENCH RD,65157
66954,KALLANG BAHRU,65157
66957,KG ARANG RD,65157
66968,TOWNER RD,65157
66975,KENT RD,65157
66976,KING GEORGE'S AVE,65157
66999,PASIR RIS ST 12,65217
67022,PASIR RIS DR 3,65217
67098,PUNGGOL RD,65286
67134,GHIM MOH LINK,65385
67155,DAWSON RD,65385
67177,DOVER CL EAST,65385
67358,FERNVALE ST,65466
67371,SENGKANG EAST RD,65466
67485,TAMPINES ST 34,65674
67511,SIMEI ST 5,65674
67559,TOA PAYOH CTRL,65801
67607,WOODLANDS AVE 5,65856
67626,WOODLANDS DR 62,65856
67636,WOODLANDS ST 11,65856
67670,WOODLANDS DR 72,65856
67766,YISHUN ST 20,65987
67888,ANG MO KIO ST 31,64256
67906,BEDOK NTH ST 2,64343
68011,SIN MING RD,64450
68104,BT BATOK WEST AVE 7,64490
68118,KIM CHENG ST,64553
68119,KIM PONG RD,64553
68147,JLN RUMAH TINGGI,64553
68172,SPOTTISWOODE PK RD,64553
68176,ZION RD,64553
68282,CASHEW RD,64614
68295,KELANTAN RD,64721
68297,SMITH ST,64721
68301,CHIN SWEE RD,64721
68401,CLEMENTI ST 11,64807
68468,PAYA LEBAR WAY,64841
68536,BUANGKOK LINK,64886
68650,JURONG WEST ST 72,65019
68750,KG KAYU RD,65157
68765,MOULMEIN RD,65157
68770,WHAMPOA RD,65157
68774,CAMBRIDGE RD,65157
68795,CHANGI VILLAGE RD,65217
68893,PUNGGOL EAST,65286
68997,C'WEALTH AVE,65385
69051,SEMBAWANG VISTA,65429
69078,ANCHORVALE LANE,65466
69333,TAMPINES CTRL 1,65674
69399,UPP ALJUNIED LANE,65801
69460,WOODLANDS AVE 9,65856
69825,TAMAN HO SWEE,64553
69911,UPP SERANGOON RD,64886
69931,YUNG AN RD,65019
69938,YUNG PING RD,65019
70091,LOR 3 TOA PAYOH,65801
70256,BT MERAH CTRL,64553
70275,EMPRESS RD,64717
70398,DOVER RD,65385
70507,WOODLANDS AVE 3,65856
70725,CHAI CHEE DR,64343
70739,BEDOK CTRL,64343
70832,BRIGHT HILL DR,64450
70930,BT MERAH LANE 1,64553
70947,LIM LIAK ST,64553
70948,MOH GUAN TER,64553
70949,SENG POH RD,64553
70995,REDHILL LANE,64553
71139,BUFFALO RD,64721
71147,WATERLOO ST,64721
71461,HOUGANG ST 32,64886
71502,HOUGANG ST 52,64886
71778,LOR LIMAU,65157
71788,WHAMPOA WEST,65157
71801,TESSENSOHN RD,65157
71813,JLN DUSUN,65157
72893,YISHUN CTRL 1,65987
73762,CLEMENTI ST 14,64807
74079,JURONG WEST ST 75,65019
74179,OWEN RD,65157
75018,TAMPINES ST 86,65674
75551,ANG MO KIO ST 11,64256
75815,HENDERSON RD,64553
76194,JOO CHIAT RD,64841
76440,TAO CHING RD,65019
76743,SUMANG WALK,65286
76959,QUEENSWAY,65385
78472,BAIN ST,64721
79178,PASIR RIS ST 41,65217
